ID,IMAG1,IMAG2,IMAG3,IMAG4,IMAG5,EXPE1,EXPE2,EXPE3,QUAL1,QUAL2,QUAL3,QUAL4,QUAL5,QUAL6,QUAL7,QUAL8,QUAL9,VALU1,VALU2,SATI1,SATI2,SATI3,LOYA1,LOYA2
1,7,10,8,5,8,6,6,5,6,8,6,7,8,7,7,10,7,7,8,6,7,6,5,NA
2,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
3,6,9,6,5,7,7,8,6,8,9,7,9,7,7,7,9,6,5,8,8,8,8,10,8
4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,9,10,10
5,8,9,8,6,10,7,8,8,8,9,6,7,9,7,6,8,6,7,7,7,8,8,8,8
6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7,7,7,6,7,6,7,8,7,8,5,8,8,7,8,8,8,8,7,8,6,8,8,9,8
8,10,10,10,9,9,10,10,9,10,10,9,10,10,10,10,9,9,10,10,10,9,9,10,10
9,5,9,7,6,9,8,8,7,8,8,5,8,7,8,6,6,8,8,8,2,9,7,7,7
10,8,9,8,8,9,8,9,9,8,9,7,8,8,9,8,8,8,7,7,8,7,7,9,8
11,9,10,7,9,9,9,8,8,9,9,8,8,9,8,7,9,9,5,5,8,8,8,8,8
12,8,8,7,7,7,7,6,6,8,7,6,7,7,7,6,6,7,7,7,8,7,6,9,8
13,10,10,9,8,10,8,8,8,9,9,8,9,NA,9,9,8,9,7,7,8,8,9,10,10
14,7,8,5,7,8,7,8,7,7,5,6,NA,NA,8,8,5,7,5,5,7,6,8,6,8
15,10,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,10,10
16,10,10,10,8,10,9,9,8,10,10,9,10,9,10,9,10,9,9,9,9,9,9,9,9
17,10,10,10,1,10,1,1,1,2,10,5,1,1,1,1,10,10,NA,1,5,1,1,1,1
18,8,8,8,8,8,8,8,8,8,8,7,9,9,8,7,8,8,7,7,8,8,8,9,8
19,8,8,7,8,8,8,8,8,7,8,8,8,8,8,8,8,8,7,7,8,8,8,7,8
20,9,9,8,9,8,8,8,8,8,8,8,NA,8,8,8,8,8,7,8,8,7,9,8,8
21,10,10,10,10,10,10,10,10,10,10,10,10,NA,10,10,9,10,9,10,10,10,10,10,10
22,10,10,10,10,10,9,9,9,10,8,10,10,10,10,9,8,10,9,9,10,10,10,10,10
23,9,7,8,9,9,8,8,8,9,7,8,7,8,9,8,6,9,7,9,9,9,9,9,9
24,8,10,8,8,10,8,8,8,10,10,10,8,8,8,10,10,10,10,10,8,8,10,10,10
25,8,9,8,7,9,6,5,4,7,8,8,8,7,8,8,7,7,3,5,8,7,6,7,7
26,8,9,6,7,8,6,7,7,7,8,7,6,6,7,7,8,5,6,7,7,6,8,8,7
27,8,9,6,7,7,7,8,6,7,9,6,9,8,9,8,9,8,5,7,7,7,8,6,7
28,8,10,5,5,10,10,8,5,8,8,2,4,3,6,8,9,8,8,4,8,10,9,10,10
29,8,10,10,10,10,7,10,6,8,7,8,10,10,10,10,7,8,8,8,7,7,7,10,7
30,10,10,10,10,10,10,NA,10,9,6,10,10,10,10,10,6,10,10,10,10,10,10,10,10
31,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10
32,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10
33,10,10,9,8,9,9,9,9,10,8,8,8,8,8,8,7,9,8,8,9,9,8,8,10
34,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
35,10,10,10,9,10,9,9,9,10,10,10,9,10,10,9,9,9,8,9,9,9,9,9,9
36,9,10,9,9,9,9,9,9,10,10,9,9,9,9,10,10,10,9,9,9,10,10,10,10
37,7,7,5,4,NA,6,7,4,7,3,6,8,6,7,7,5,8,5,6,7,6,8,7,6
38,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
39,10,10,10,10,10,10,10,10,10,8,9,8,9,8,10,8,8,8,9,10,9,8,8,5
40,10,10,10,10,10,9,9,9,10,10,10,9,9,10,10,10,10,7,7,10,9,10,10,10
41,6,6,6,6,6,8,8,8,8,9,9,9,9,9,9,9,9,5,8,9,9,10,9,9
42,9,9,9,9,8,9,8,9,9,9,9,8,8,8,9,8,9,6,8,9,8,7,8,8
43,9,10,9,9,10,8,7,8,9,8,7,7,7,7,7,7,6,7,7,8,8,10,10,10
44,8,8,8,7,8,7,8,NA,8,8,7,8,7,8,8,8,7,7,8,8,7,7,7,8
45,10,10,10,10,10,1,1,1,1,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1
46,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,10,10
47,8,8,7,7,8,7,7,7,8,8,7,7,7,8,8,9,8,7,7,8,8,8,10,7
48,8,10,8,9,10,8,8,8,9,10,10,9,9,9,9,10,9,8,8,9,8,9,10,10
49,8,9,8,9,9,8,8,7,8,8,8,8,8,7,6,6,6,6,6,9,7,6,6,6
50,7,9,8,8,8,7,8,7,7,8,7,NA,NA,NA,5,6,5,4,6,8,5,NA,8,7
51,1,7,4,4,5,2,NA,1,3,5,3,5,4,2,1,4,1,1,1,2,1,1,1,1
52,2,10,NA,1,9,9,5,2,3,8,4,4,4,6,1,9,2,2,4,1,1,4,1,1
53,6,7,7,5,8,7,7,5,6,8,4,7,7,6,4,8,7,5,6,8,7,6,7,6
54,8,9,9,8,8,8,9,8,8,8,8,7,6,8,8,8,8,5,7,8,7,7,7,8
55,8,8,8,7,8,8,8,7,8,7,8,8,7,8,7,7,7,7,7,8,8,7,7,7
56,7,7,5,8,9,8,7,8,8,7,7,NA,NA,7,7,8,8,6,7,8,8,7,7,7
57,9,9,9,10,10,8,9,9,8,10,10,8,9,10,9,10,9,8,9,10,8,10,9,10
58,8,8,8,8,8,7,7,6,8,3,8,6,6,8,8,4,6,4,4,8,8,8,5,10
59,8,8,8,8,10,8,8,8,8,1,8,9,NA,10,8,2,8,5,5,8,8,8,8,8
60,4,6,NA,4,7,5,4,5,5,6,4,7,8,5,6,5,4,4,4,3,5,5,5,5
61,7,10,8,6,10,7,9,5,7,6,4,6,7,8,5,5,9,6,7,7,6,5,6,5
62,7,8,6,4,10,7,9,9,6,8,6,7,8,6,8,9,7,6,7,3,5,6,4,5
63,4,7,NA,5,7,6,7,6,6,2,2,6,6,6,2,2,6,6,5,5,6,5,8,7
64,10,10,10,9,10,10,10,9,10,9,9,9,9,9,9,9,9,9,9,10,9,10,10,9
65,1,9,2,1,5,7,6,5,6,9,2,6,5,2,4,10,4,4,6,1,2,6,NA,5
66,10,9,9,6,9,7,9,6,10,10,6,7,6,9,8,6,6,5,5,8,8,8,6,6
67,NA,7,6,5,8,7,NA,NA,8,8,7,8,9,7,9,6,NA,4,6,6,7,9,8,9
68,10,9,10,7,10,6,6,6,7,2,8,4,7,7,9,1,8,5,5,6,6,6,6,7
69,7,8,7,7,8,7,8,7,7,7,7,7,8,8,7,7,7,5,7,7,8,8,6,7
70,9,9,9,10,8,10,7,9,10,8,10,10,10,10,10,7,8,8,8,10,9,9,10,9
71,10,8,10,8,10,9,10,5,10,10,8,10,9,9,10,10,10,8,8,10,10,10,8,8
72,9,9,7,8,8,8,8,8,8,8,5,8,8,8,7,8,7,7,7,9,8,8,8,8
73,10,10,10,10,10,8,8,9,8,8,10,10,10,7,10,8,10,7,7,9,8,8,10,10
74,8,9,7,7,8,8,6,6,8,8,7,7,8,6,6,9,6,6,7,7,7,6,8,8
75,6,8,5,4,6,5,4,4,6,7,7,5,7,7,8,6,8,4,5,7,7,4,8,8
76,4,8,8,4,8,6,6,4,6,3,7,6,6,7,6,4,6,5,6,6,7,4,4,2
77,7,8,5,6,8,6,5,6,8,7,9,8,7,7,8,8,6,5,5,7,7,7,7,7
78,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,9,10,10
79,8,9,7,8,9,7,7,7,8,8,8,7,7,8,8,9,8,7,7,7,7,7,9,8
80,9,10,8,7,NA,7,8,9,8,10,7,8,9,9,9,10,6,6,6,8,6,7,8,9
81,7,9,5,6,8,4,5,5,6,7,7,7,8,7,7,8,5,4,6,5,5,5,2,5
82,10,10,10,8,8,10,10,7,8,9,6,7,10,7,7,7,6,1,5,8,9,5,10,8
83,8,10,9,9,10,NA,10,10,10,7,8,8,9,10,8,7,10,1,NA,8,6,8,9,5
84,8,8,8,6,9,6,6,6,8,8,6,8,8,8,6,9,9,6,5,9,5,5,8,2
85,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,8,8,8,10,10,10
86,8,7,8,7,NA,9,7,8,8,7,5,8,5,8,8,9,5,5,5,8,7,6,5,5
87,7,9,8,7,8,6,7,8,8,7,8,8,7,8,5,9,7,5,6,8,6,7,8,9
88,10,9,9,9,10,8,9,8,9,9,9,9,8,10,8,9,9,8,8,9,9,8,8,7
89,7,8,7,7,7,6,7,7,8,7,7,7,7,6,7,8,7,7,7,6,8,7,8,7
90,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
91,8,6,3,2,7,3,2,1,2,6,8,8,8,7,8,1,7,4,6,4,6,4,4,3
92,10,8,10,8,8,9,7,NA,9,10,NA,6,7,8,8,9,9,8,8,10,8,7,10,10
93,9,10,10,7,9,7,10,7,8,10,10,8,7,8,8,10,9,8,8,9,10,10,10,10
94,7,9,8,7,8,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,8,8,9,9
95,9,10,9,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10
96,9,9,8,9,9,8,8,9,9,9,9,9,9,9,8,9,7,5,6,7,8,7,8,8
97,8,8,8,7,7,8,9,8,9,9,9,9,8,9,8,9,9,8,7,8,8,7,8,8
98,10,10,10,8,7,7,7,10,8,8,6,8,6,10,10,8,10,8,10,8,8,10,10,10
#NAME?,6,10,6,6,10,5,4,2,6,7,2,7,5,7,7,7,7,6,6,6,6,6,7,6
#NAME?,7,9,6,6,8,7,8,8,8,8,7,7,7,8,7,8,7,7,8,9,8,7,10,8
#NAME?,10,10,8,9,10,8,10,8,10,7,8,10,10,10,10,7,8,8,10,8,9,9,10,10
#NAME?,6,8,6,7,8,6,7,7,8,7,6,6,7,7,7,8,7,6,6,7,7,6,6,7
#NAME?,3,5,5,1,5,5,4,2,1,2,5,4,NA,4,5,6,5,5,3,3,3,1,2,1
#NAME?,10,10,10,10,10,10,10,4,5,10,10,5,6,5,10,10,4,4,10,4,4,6,4,10
#NAME?,10,10,10,10,10,10,10,10,7,10,10,7,7,10,10,10,10,8,10,7,8,8,5,10
#NAME?,10,10,10,8,10,9,9,9,9,9,6,8,8,8,9,8,8,8,9,10,9,10,10,10
#NAME?,9,9,8,8,8,8,8,8,10,9,5,8,7,9,8,9,8,4,7,8,8,7,8,8
#NAME?,8,9,7,9,9,8,8,8,8,9,8,9,9,9,8,9,7,4,5,7,7,6,8,7
#NAME?,6,8,7,4,6,6,6,8,8,8,6,6,8,8,7,7,7,8,8,6,6,7,10,8
#NAME?,5,5,4,2,1,7,8,6,6,7,4,2,2,5,3,7,2,4,2,4,5,7,2,6
#NAME?,8,10,9,9,10,7,8,6,9,7,8,8,9,7,10,10,9,7,8,8,8,7,10,10
#NAME?,9,9,8,8,8,7,7,7,9,9,8,8,8,8,8,7,7,7,7,9,8,7,8,8
#NAME?,10,NA,10,10,NA,10,10,10,10,10,10,NA,10,10,10,8,10,10,8,10,10,10,10,NA
#NAME?,10,10,10,2,7,9,10,8,10,10,10,8,8,7,7,10,10,4,5,7,7,5,1,3
#NAME?,5,10,5,6,10,6,8,5,5,6,6,NA,NA,8,3,5,3,2,2,6,6,2,NA,2
#NAME?,8,7,7,6,9,8,8,7,7,6,6,7,7,6,6,8,6,6,6,7,7,8,7,6
#NAME?,8,9,8,7,8,6,6,5,8,8,8,NA,5,NA,8,9,8,5,5,6,7,5,10,5
#NAME?,6,10,10,10,10,5,8,5,7,5,10,5,7,8,10,7,5,6,5,7,6,5,6,8
#NAME?,8,6,6,6,6,7,6,8,7,8,8,8,6,8,6,10,6,6,7,8,7,3,8,9
#NAME?,8,10,8,10,10,10,10,8,10,8,8,10,8,10,10,7,10,1,5,10,8,8,8,10
#NAME?,8,8,9,9,9,9,8,8,9,9,9,9,8,8,8,8,5,10,1,8,2,10,10,10
#NAME?,10,4,10,10,5,5,6,4,7,7,5,3,4,4,5,8,4,6,4,5,8,4,7,5
#NAME?,6,8,8,8,8,7,8,7,8,8,7,9,7,7,8,8,7,10,10,8,10,2,10,10
#NAME?,8,10,10,8,9,10,8,9,10,9,6,8,9,8,8,10,8,6,7,7,9,7,7,6
#NAME?,5,7,5,3,7,5,4,2,5,6,8,7,7,5,7,7,7,5,1,5,6,10,10,5
#NAME?,8,7,10,6,10,8,10,6,10,10,10,9,10,8,8,7,6,5,7,9,8,10,9,10
#NAME?,9,8,7,8,NA,NA,10,7,NA,10,6,8,NA,8,10,8,10,8,6,8,8,NA,NA,NA
#NAME?,10,10,10,5,5,10,10,10,9,10,5,NA,5,5,10,10,5,5,10,10,10,10,10,10
#NAME?,8,8,8,7,8,6,7,5,8,8,7,7,6,9,7,9,7,5,5,10,8,5,7,7
#NAME?,8,9,9,8,10,8,9,8,9,8,8,9,9,9,8,9,8,8,8,8,9,7,8,8
#NAME?,8,10,9,10,10,10,9,9,10,10,10,10,10,10,9,10,10,8,10,10,10,10,10,10
#NAME?,10,10,9,10,10,10,10,9,10,10,10,9,9,9,10,10,9,9,10,10,10,10,10,10
