ID,IMAG1,IMAG2,IMAG3,IMAG4,IMAG5,EXPE1,EXPE2,EXPE3,QUAL1,QUAL2,QUAL3,QUAL4,QUAL5,QUAL6,QUAL7,QUAL8,QUAL9,VALU1,VALU2,SATI1,SATI2,SATI3,LOYA1,LOYA2
#NAME?,7,10,10,8,8,10,8,10,8,6,8,10,8,8,7,6,8,7,6,6,6,5,7,5
#NAME?,7,7,8,5,6,7,6,7,8,6,8,7,6,7,6,6,6,6,6,5,7,6,5,5
#NAME?,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
#NAME?,10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,10,6,10,8,6,10,8,10,10,10
#NAME?,8,9,7,7,10,9,9,8,9,9,7,9,9,8,8,8,6,6,6,9,9,8,8,9
#NAME?,10,9,9,9,10,8,8,8,8,8,7,8,NA,8,8,9,9,7,7,8,7,7,7,7
#NAME?,10,10,8,9,9,8,9,9,7,9,6,9,9,10,10,10,10,9,9,10,10,10,10,10
#NAME?,8,9,7,7,8,7,8,7,8,8,10,8,7,8,7,7,7,6,6,8,6,7,5,4
#NAME?,8,10,6,7,9,8,8,7,8,9,7,9,6,8,8,8,8,5,7,7,7,8,9,9
#NAME?,6,7,6,5,6,6,5,5,6,6,6,6,6,6,6,5,6,5,5,7,6,5,6,6
#NAME?,6,9,7,7,9,8,8,7,7,8,7,7,7,7,6,8,7,5,6,6,7,6,7,5
#NAME?,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8
#NAME?,5,10,5,5,10,10,5,2,5,5,5,10,10,10,10,2,2,3,10,5,5,5,10,5
#NAME?,4,8,6,1,5,5,1,1,3,1,1,1,6,1,7,1,5,1,1,8,1,2,1,1
#NAME?,8,9,7,8,9,9,8,NA,10,8,8,8,8,8,8,8,9,NA,NA,8,10,8,9,9
#NAME?,5,10,5,4,7,5,4,7,7,8,2,7,7,8,2,5,4,4,5,5,7,6,5,5
#NAME?,9,9,9,6,9,8,9,9,9,9,7,10,9,10,9,9,9,7,8,6,8,8,7,7
#NAME?,8,8,8,8,8,8,7,7,8,7,7,7,8,NA,NA,7,NA,7,7,8,8,5,NA,5
#NAME?,9,10,9,9,10,8,8,8,8,9,8,9,9,8,7,9,7,5,9,8,8,8,9,9
#NAME?,9,9,9,8,10,10,10,8,8,9,9,9,8,10,10,10,9,8,9,8,10,9,10,10
#NAME?,7,10,9,8,9,9,6,6,8,8,8,NA,NA,8,8,8,8,7,8,7,7,7,7,8
#NAME?,7,7,3,3,6,4,5,5,7,8,8,7,6,7,6,8,6,5,5,7,5,6,7,7
#NAME?,9,9,9,10,10,3,8,9,10,10,10,9,9,8,9,10,10,9,9,9,9,9,9,10
#NAME?,7,7,6,6,6,6,6,6,6,7,6,7,7,7,7,6,7,5,5,7,6,5,5,6
#NAME?,9,9,6,8,10,9,8,8,9,10,6,9,7,9,9,9,9,7,7,8,9,8,10,10
#NAME?,10,10,10,NA,10,10,10,10,10,10,NA,10,10,10,8,10,5,8,10,10,7,8,10,9
#NAME?,8,NA,NA,8,8,8,9,NA,9,9,NA,8,NA,8,9,9,9,6,NA,8,9,9,8,8
#NAME?,9,10,9,9,10,9,9,9,9,9,9,NA,9,9,9,8,9,9,9,10,10,10,9,10
#NAME?,10,9,8,7,9,9,10,8,9,10,9,10,9,9,8,9,8,8,9,9,8,8,10,10
#NAME?,7,7,6,7,5,6,6,6,7,6,7,6,5,6,7,6,7,6,7,8,7,7,7,7
#NAME?,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
#NAME?,9,9,8,9,10,8,8,7,8,9,8,9,9,9,9,9,8,7,7,8,7,8,10,10
#NAME?,9,10,8,9,10,9,8,8,8,9,8,7,9,9,8,10,8,8,8,9,8,8,10,10
#NAME?,8,10,NA,8,NA,8,9,9,9,8,9,NA,NA,9,8,9,NA,6,7,8,7,6,6,5
#NAME?,8,8,8,8,7,7,7,8,9,9,8,8,8,9,8,8,8,8,8,7,8,7,8,6
#NAME?,8,10,8,8,NA,7,7,7,5,8,9,7,8,8,7,4,8,5,6,8,7,10,10,10
#NAME?,10,10,10,10,NA,10,10,NA,10,10,NA,NA,NA,NA,10,10,10,5,10,10,10,10,10,10
#NAME?,8,10,10,6,10,8,8,7,8,4,8,7,7,7,7,4,7,6,7,8,7,8,10,8
#NAME?,6,10,9,8,8,10,10,9,10,10,1,10,10,10,1,10,1,5,5,6,6,1,5,1
#NAME?,10,10,7,10,10,10,10,10,10,6,10,9,9,9,9,7,9,9,9,9,9,8,10,8
#NAME?,10,10,10,10,10,10,10,5,10,10,NA,10,10,10,8,10,10,10,10,10,10,10,10,10
#NAME?,10,10,10,10,10,9,9,10,10,10,10,NA,10,10,10,10,10,5,7,10,10,9,10,10
#NAME?,8,6,6,9,6,8,6,6,9,9,9,NA,NA,5,7,9,6,7,7,7,8,7,8,9
#NAME?,8,10,8,8,9,10,9,9,10,10,10,10,10,10,9,10,9,NA,10,9,10,10,10,10
#NAME?,6,8,8,8,7,7,8,6,7,8,6,8,9,8,7,7,6,5,6,7,7,7,8,8
#NAME?,6,10,6,5,10,6,6,5,8,10,6,6,10,6,6,10,4,5,6,6,6,5,10,6
#NAME?,6,8,NA,7,8,7,7,8,8,8,5,9,8,9,7,8,7,7,8,8,8,8,8,7
#NAME?,10,10,10,8,10,9,7,8,9,8,8,9,10,10,10,8,8,5,7,10,8,9,10,10
#NAME?,2,10,6,4,5,6,5,2,6,9,6,7,6,6,7,9,1,1,2,5,6,4,9,7
#NAME?,8,9,8,8,9,8,7,5,8,9,5,9,8,5,7,8,8,5,8,8,7,8,8,7
#NAME?,8,9,8,9,8,8,8,7,10,8,8,8,7,7,7,7,7,6,6,9,8,8,8,8
#NAME?,6,9,8,7,7,6,4,5,6,8,3,7,6,7,8,6,5,5,5,6,6,NA,8,6
#NAME?,10,10,10,8,10,9,10,10,10,10,NA,NA,8,10,8,8,8,8,8,10,8,8,8,8
#NAME?,8,9,8,6,8,8,8,8,8,8,8,8,7,8,6,9,6,5,7,7,8,7,6,8
#NAME?,10,10,8,8,10,8,8,8,8,8,9,7,NA,8,9,8,9,8,8,8,7,7,10,9
#NAME?,8,10,10,8,10,10,10,10,10,10,10,10,8,7,8,10,10,8,7,10,9,8,10,10
#NAME?,7,10,7,3,6,8,7,8,7,7,7,8,8,9,8,9,9,5,5,8,9,7,10,7
#NAME?,8,9,7,8,8,6,5,7,6,3,7,7,NA,8,7,3,5,4,5,7,8,6,8,6
#NAME?,8,8,NA,NA,8,NA,NA,NA,8,8,NA,8,8,8,NA,9,NA,5,8,8,NA,8,9,8
#NAME?,6,5,8,8,9,6,7,9,8,8,8,7,8,8,10,9,10,6,7,7,9,8,9,9
#NAME?,9,9,9,9,10,9,10,9,9,9,10,9,10,10,9,9,9,9,9,9,9,10,9,10
#NAME?,8,8,8,7,8,7,7,7,8,7,7,8,8,7,7,8,8,7,7,8,7,7,9,7
#NAME?,10,10,8,8,8,8,10,9,9,8,7,9,8,9,10,9,10,6,8,10,8,8,10,10
#NAME?,8,9,8,8,9,8,8,8,8,9,7,9,9,9,8,9,8,5,6,8,8,8,9,8
#NAME?,2,5,5,2,5,5,2,2,5,5,5,5,5,5,1,5,2,1,1,2,5,5,5,1
#NAME?,8,8,7,8,7,7,7,8,7,8,6,8,7,6,8,9,8,7,7,7,7,7,8,9
#NAME?,8,8,8,7,8,7,8,8,8,8,7,8,7,7,7,8,8,3,7,7,6,7,6,8
#NAME?,9,10,8,8,10,9,10,7,9,10,6,8,NA,7,8,10,NA,7,8,10,6,NA,9,8
#NAME?,6,7,7,6,7,7,7,6,7,8,6,8,8,7,7,9,7,6,6,5,7,NA,5,5
#NAME?,8,NA,8,8,NA,8,NA,NA,8,5,7,6,7,7,8,8,6,1,NA,8,1,10,10,10
#NAME?,8,7,7,6,9,8,8,6,7,7,7,9,9,8,6,7,7,3,8,8,8,7,5,6
#NAME?,6,8,7,7,9,7,7,8,8,8,9,8,8,8,8,8,7,7,7,7,7,7,8,7
#NAME?,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
#NAME?,10,8,10,10,10,10,8,10,10,10,10,10,NA,8,9,8,8,6,10,10,10,10,10,10
#NAME?,8,10,9,7,10,9,8,8,9,7,8,8,8,8,6,7,6,6,8,9,8,8,10,9
#NAME?,7,7,7,9,7,7,6,6,7,6,7,7,6,6,6,5,7,5,6,8,6,3,5,6
#NAME?,8,10,8,9,8,8,7,7,8,7,8,5,6,7,8,6,9,6,7,8,6,8,8,9
#NAME?,8,8,6,7,7,5,6,7,8,9,8,8,8,7,8,9,8,5,6,6,7,6,5,6
#NAME?,8,10,10,9,10,9,8,7,9,8,8,8,9,7,8,6,6,10,7,8,10,8,5,8
#NAME?,8,7,7,10,8,8,8,7,8,7,7,7,7,8,7,7,7,7,8,8,8,5,10,10
#NAME?,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
#NAME?,6,8,6,5,8,6,7,6,6,5,NA,7,NA,5,5,5,NA,4,6,6,5,6,10,1
#NAME?,8,9,8,7,8,9,8,8,9,9,9,9,9,8,7,9,7,9,6,8,5,7,5,6
#NAME?,9,9,10,9,9,9,9,8,9,9,8,9,9,6,9,9,9,9,9,8,8,10,10,10
#NAME?,9,10,10,8,10,8,9,7,8,8,8,7,8,8,7,7,7,6,6,8,8,8,10,9
#NAME?,9,10,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10
#NAME?,10,10,10,9,10,8,9,7,9,10,7,9,10,9,8,10,9,4,6,10,9,10,10,10
#NAME?,5,4,5,4,5,8,5,3,3,6,4,6,6,2,2,4,2,1,3,5,2,2,1,1
#NAME?,9,9,9,8,9,9,9,9,9,9,8,9,9,8,9,9,9,8,8,9,9,7,9,8
#NAME?,6,6,5,3,7,6,6,7,7,7,5,5,NA,6,5,7,7,4,5,7,5,5,5,5
#NAME?,10,10,8,7,10,8,7,6,8,7,9,8,8,10,9,8,7,6,7,8,8,7,9,8
#NAME?,8,9,8,9,9,8,8,6,8,6,5,7,8,7,6,5,7,5,6,8,7,7,5,7
#NAME?,7,8,7,6,6,6,8,6,8,7,6,8,NA,6,6,7,7,10,9,8,10,NA,8,10
#NAME?,10,10,10,6,10,10,NA,10,10,10,10,10,10,10,10,10,10,5,7,10,10,10,10,10
#NAME?,8,7,6,6,6,7,7,7,6,8,7,NA,6,6,6,7,6,6,8,8,7,7,7,6
#NAME?,8,10,8,5,8,4,7,4,5,8,10,10,8,10,10,8,8,6,6,7,8,8,10,10
#NAME?,8,10,7,7,10,8,9,8,9,9,9,5,7,8,8,10,8,7,7,8,8,8,8,8
#NAME?,8,10,9,8,9,8,8,9,9,8,8,8,8,9,9,8,9,7,7,9,8,7,8,8
#NAME?,5,2,4,5,5,7,NA,9,8,6,1,7,NA,NA,NA,5,5,5,5,8,6,5,6,2
#NAME?,5,5,5,4,6,8,6,5,6,4,4,6,6,8,8,4,8,5,5,8,8,6,5,5
#NAME?,8,10,9,8,10,5,5,8,9,9,9,10,7,7,10,9,3,3,4,9,6,7,8,5
#NAME?,10,10,10,7,8,8,7,8,9,9,5,8,7,9,8,9,8,6,5,8,8,7,NA,8
#NAME?,5,3,6,7,8,5,3,4,5,2,4,6,4,5,5,1,6,1,1,6,5,3,3,2
#NAME?,8,9,NA,7,8,8,7,8,8,7,8,8,8,8,7,8,7,7,7,7,8,7,7,8
#NAME?,5,9,8,8,9,8,8,7,9,10,NA,8,9,7,8,9,7,7,7,8,8,8,10,8
#NAME?,8,8,7,7,8,8,6,6,7,8,6,8,8,9,8,9,8,6,8,8,8,7,8,8
#NAME?,8,10,9,8,8,8,9,8,9,6,8,9,8,8,8,6,8,8,9,9,8,9,9,8
#NAME?,10,10,10,10,10,10,10,9,10,10,10,10,8,9,10,10,10,8,10,10,10,10,9,10
#NAME?,6,6,7,3,6,4,6,3,5,6,1,6,7,7,4,5,5,3,4,5,6,5,5,5
#NAME?,7,9,8,8,8,8,9,8,8,8,7,8,7,NA,9,9,8,8,8,8,8,7,8,8
#NAME?,10,10,8,10,10,8,10,7,8,10,6,7,8,10,10,7,10,10,10,8,9,9,9,10
#NAME?,10,10,8,7,10,9,10,10,10,10,10,10,10,9,10,10,10,9,10,10,9,10,10,10
#NAME?,10,8,7,7,5,7,5,10,8,9,8,8,8,9,5,7,5,5,5,7,7,6,7,6
#NAME?,6,7,5,5,6,6,6,5,7,5,5,6,6,6,6,6,5,5,5,7,5,6,6,5
#NAME?,6,8,7,6,7,9,8,8,7,8,6,8,8,8,6,8,6,5,8,8,6,6,8,6
#NAME?,8,8,8,8,9,8,9,8,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8
#NAME?,4,5,5,3,3,4,4,3,4,5,3,3,3,4,3,4,4,1,2,5,4,4,5,NA
#NAME?,10,10,NA,8,10,10,10,10,10,10,NA,6,10,6,8,10,10,8,8,10,8,9,9,10
#NAME?,8,10,6,8,9,8,10,9,9,7,9,9,10,NA,8,7,10,7,9,8,9,10,8,8
#NAME?,6,8,6,6,7,6,7,7,6,9,7,6,8,7,5,8,5,4,5,6,6,5,5,6
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
